zpid,Status Type,Status Text,Time On Zillow,Price,Area,Price Per Sqft,Zestimate,Zestimate Price Per Sqft,Rent Zestimate,Lot Area,Lot Area Unit,Beds,Bathrooms,Address,Street,City,State,Zipcode,Latitude,Longitude,Broker Name,is zillow owned,Sold Date,Sold Price,Image URL,Detail URL,Search Page URL,Listing Agent Email,Listing Agent Phone,Hoa Fees,Most Rencent Tax Assessed Value,Parking Capacity,Heating,Cooling,Stories,Year Built,Property Taxes,Parcel Number,Property Type,Property subtype,Description,Home Insights
64462204,FOR_SALE,Home for sale,131 days,99900,0,,,,1657.0,,,3,2,"2240 Golden Oak Ln SPACE 49, Merced, CA 95341",2240 Golden Oak Ln SPACE 49,Merced,CA,95341,37.293327,-120.44595,,False,,,https://photos.zillowstatic.com/fp/59cb83fb9c65b2870ff598f456d15e0d-p_e.jpg,https://www.zillow.com/homedetails/2240-Golden-Oak-Ln-SPACE-49-Merced-CA-95341/64462204_zpid/,https://www.zillow.com/merced-ca-95341/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A37.396339042321316%2C%22south%22%3A37.06667671895387%2C%22east%22%3A-120.24696123876953%2C%22west%22%3A-120.77087176123047%7D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22pricea%22%7D%2C%22beds%22%3A%7B%22min%22%3A3%2C%22max%22%3A3%7D%2C%22baths%22%3A%7B%22min%22%3A1%2C%22max%22%3Anull%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A11%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A98122%2C%22regionType%22%3A7%7D%5D%2C%22pagination%22%3A%7B%7D%2C%22usersSearchTerm%22%3A%22Merced%20CA%2095341%22%7D,,,,,,,,,,,,,,,
402471296,FOR_SALE,Home for sale,131 days,129900,0,,130000.0,,,,,3,2,"2240 Golden Oak Ln #64, Merced, CA 95341",2240 Golden Oak Ln #64,Merced,CA,95341,37.294434,-120.4463,,False,,,https://photos.zillowstatic.com/fp/a991d8daca9ebb320e75ee0cbe317829-p_e.jpg,https://www.zillow.com/homedetails/2240-Golden-Oak-Ln-64-Merced-CA-95341/402471296_zpid/,https://www.zillow.com/merced-ca-95341/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A37.396339042321316%2C%22south%22%3A37.06667671895387%2C%22east%22%3A-120.24696123876953%2C%22west%22%3A-120.77087176123047%7D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22pricea%22%7D%2C%22beds%22%3A%7B%22min%22%3A3%2C%22max%22%3A3%7D%2C%22baths%22%3A%7B%22min%22%3A1%2C%22max%22%3Anull%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A11%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A98122%2C%22regionType%22%3A7%7D%5D%2C%22pagination%22%3A%7B%7D%2C%22usersSearchTerm%22%3A%22Merced%20CA%2095341%22%7D,,,,,,,,,,,,,,,
2070035733,FOR_SALE,Home for sale,131 days,129900,0,,130100.0,,1655.0,,,3,2,"2240 Golden Oak Ln SPACE 104, Merced, CA 95341",2240 Golden Oak Ln SPACE 104,Merced,CA,95341,37.293304,-120.445946,,False,,,https://photos.zillowstatic.com/fp/ca75fd5069425d70616344f3eb7aaa2a-p_e.jpg,https://www.zillow.com/homedetails/2240-Golden-Oak-Ln-SPACE-104-Merced-CA-95341/2070035733_zpid/,https://www.zillow.com/merced-ca-95341/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A37.396339042321316%2C%22south%22%3A37.06667671895387%2C%22east%22%3A-120.24696123876953%2C%22west%22%3A-120.77087176123047%7D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22pricea%22%7D%2C%22beds%22%3A%7B%22min%22%3A3%2C%22max%22%3A3%7D%2C%22baths%22%3A%7B%22min%22%3A1%2C%22max%22%3Anull%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A11%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A98122%2C%22regionType%22%3A7%7D%5D%2C%22pagination%22%3A%7B%7D%2C%22usersSearchTerm%22%3A%22Merced%20CA%2095341%22%7D,,,,,,,,,,,,,,,
64667242,FOR_SALE,Home for sale,131 days,135000,0,,136500.0,,1710.0,,,3,2,"2240 Golden Oak Ln SPACE 51, Merced, CA 95341",2240 Golden Oak Ln SPACE 51,Merced,CA,95341,37.293327,-120.44595,,False,,,https://photos.zillowstatic.com/fp/45335447ff9c0d54b5dab11b95060f75-p_e.jpg,https://www.zillow.com/homedetails/2240-Golden-Oak-Ln-SPACE-51-Merced-CA-95341/64667242_zpid/,https://www.zillow.com/merced-ca-95341/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A37.396339042321316%2C%22south%22%3A37.06667671895387%2C%22east%22%3A-120.24696123876953%2C%22west%22%3A-120.77087176123047%7D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22pricea%22%7D%2C%22beds%22%3A%7B%22min%22%3A3%2C%22max%22%3A3%7D%2C%22baths%22%3A%7B%22min%22%3A1%2C%22max%22%3Anull%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A11%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A98122%2C%22regionType%22%3A7%7D%5D%2C%22pagination%22%3A%7B%7D%2C%22usersSearchTerm%22%3A%22Merced%20CA%2095341%22%7D,,,,,,,,,,,,,,,
19180358,FOR_SALE,House for sale,0,235000,1099,214.0,234800.0,214.0,1834.0,9384.0,sqft,3,1,"1780 W 8th St, Merced, CA 95341",1780 W 8th St,Merced,CA,95341,37.297913,-120.506516,California Land & Home by KW,False,,,https://photos.zillowstatic.com/fp/7bd1df8c3f20f75d20493f25daca98e8-p_e.jpg,https://www.zillow.com/homedetails/1780-W-8th-St-Merced-CA-95341/19180358_zpid/,https://www.zillow.com/merced-ca-95341/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A37.396339042321316%2C%22south%22%3A37.06667671895387%2C%22east%22%3A-120.24696123876953%2C%22west%22%3A-120.77087176123047%7D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22pricea%22%7D%2C%22beds%22%3A%7B%22min%22%3A3%2C%22max%22%3A3%7D%2C%22baths%22%3A%7B%22min%22%3A1%2C%22max%22%3Anull%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A11%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A98122%2C%22regionType%22%3A7%7D%5D%2C%22pagination%22%3A%7B%7D%2C%22usersSearchTerm%22%3A%22Merced%20CA%2095341%22%7D,,,,,,,,,,,,,,,
19174508,FOR_SALE,House for sale,5 days,289900,948,306.0,288300.0,304.0,1361.0,6000.0,sqft,3,1,"1761 Rose Ave, Merced, CA 95341",1761 Rose Ave,Merced,CA,95341,37.294327,-120.46089,,False,,,https://photos.zillowstatic.com/fp/9c198881f926433e2c53fb2a198ae76e-p_e.jpg,https://www.zillow.com/homedetails/1761-Rose-Ave-Merced-CA-95341/19174508_zpid/,https://www.zillow.com/merced-ca-95341/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A37.396339042321316%2C%22south%22%3A37.06667671895387%2C%22east%22%3A-120.24696123876953%2C%22west%22%3A-120.77087176123047%7D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22pricea%22%7D%2C%22beds%22%3A%7B%22min%22%3A3%2C%22max%22%3A3%7D%2C%22baths%22%3A%7B%22min%22%3A1%2C%22max%22%3Anull%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A11%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A98122%2C%22regionType%22%3A7%7D%5D%2C%22pagination%22%3A%7B%7D%2C%22usersSearchTerm%22%3A%22Merced%20CA%2095341%22%7D,,,,,,,,,,,,,,,
19181042,FOR_SALE,House for sale,265 days,290000,977,297.0,,,1849.0,4193.0,sqft,3,2,"510 Stratford Ct, Merced, CA 95341",510 Stratford Ct,Merced,CA,95341,37.28748,-120.49147,Lucky Homes Real Estate,False,,,https://photos.zillowstatic.com/fp/134f7147a093162b5d43538a9c859a3a-p_e.jpg,https://www.zillow.com/homedetails/510-Stratford-Ct-Merced-CA-95341/19181042_zpid/,https://www.zillow.com/merced-ca-95341/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A37.396339042321316%2C%22south%22%3A37.06667671895387%2C%22east%22%3A-120.24696123876953%2C%22west%22%3A-120.77087176123047%7D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22pricea%22%7D%2C%22beds%22%3A%7B%22min%22%3A3%2C%22max%22%3A3%7D%2C%22baths%22%3A%7B%22min%22%3A1%2C%22max%22%3Anull%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A11%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A98122%2C%22regionType%22%3A7%7D%5D%2C%22pagination%22%3A%7B%7D%2C%22usersSearchTerm%22%3A%22Merced%20CA%2095341%22%7D,,,,,,,,,,,,,,,
19174614,FOR_SALE,House for sale,23 days,298999,990,302.0,,,1611.0,7841.0,sqft,3,1,"1653 Almond Ave, Merced, CA 95341",1653 Almond Ave,Merced,CA,95341,37.292786,-120.461754,"Big Block Realty, Inc",False,,,https://photos.zillowstatic.com/fp/25c6b8e2d32a579dfead6227af6842ac-p_e.jpg,https://www.zillow.com/homedetails/1653-Almond-Ave-Merced-CA-95341/19174614_zpid/,https://www.zillow.com/merced-ca-95341/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A37.396339042321316%2C%22south%22%3A37.06667671895387%2C%22east%22%3A-120.24696123876953%2C%22west%22%3A-120.77087176123047%7D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22pricea%22%7D%2C%22beds%22%3A%7B%22min%22%3A3%2C%22max%22%3A3%7D%2C%22baths%22%3A%7B%22min%22%3A1%2C%22max%22%3Anull%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A11%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A98122%2C%22regionType%22%3A7%7D%5D%2C%22pagination%22%3A%7B%7D%2C%22usersSearchTerm%22%3A%22Merced%20CA%2095341%22%7D,,,,,,,,,,,,,,,
19171529,FOR_SALE,House for sale,25 days,339999,1264,269.0,339400.0,269.0,1804.0,7500.0,sqft,3,1,"834 V St, Merced, CA 95341",834 V St,Merced,CA,95341,37.298176,-120.50308,"London Properties Ltd, Atwater",False,,,https://photos.zillowstatic.com/fp/874455dcfc8b42fe91237317b59f0210-p_e.jpg,https://www.zillow.com/homedetails/834-V-St-Merced-CA-95341/19171529_zpid/,https://www.zillow.com/merced-ca-95341/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A37.396339042321316%2C%22south%22%3A37.06667671895387%2C%22east%22%3A-120.24696123876953%2C%22west%22%3A-120.77087176123047%7D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22pricea%22%7D%2C%22beds%22%3A%7B%22min%22%3A3%2C%22max%22%3A3%7D%2C%22baths%22%3A%7B%22min%22%3A1%2C%22max%22%3Anull%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A11%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A98122%2C%22regionType%22%3A7%7D%5D%2C%22pagination%22%3A%7B%7D%2C%22usersSearchTerm%22%3A%22Merced%20CA%2095341%22%7D,,,,,,,,,,,,,,,
19174638,FOR_SALE,House for sale,25 days,350000,1263,277.0,350300.0,277.0,1623.0,5998.212,sqft,3,2,"1670 Almond Ave, Merced, CA 95341",1670 Almond Ave,Merced,CA,95341,37.293007,-120.46124,,False,,,https://photos.zillowstatic.com/fp/239449e86d92f4f161afb8726e2b51c3-p_e.jpg,https://www.zillow.com/homedetails/1670-Almond-Ave-Merced-CA-95341/19174638_zpid/,https://www.zillow.com/merced-ca-95341/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A37.396339042321316%2C%22south%22%3A37.06667671895387%2C%22east%22%3A-120.24696123876953%2C%22west%22%3A-120.77087176123047%7D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22pricea%22%7D%2C%22beds%22%3A%7B%22min%22%3A3%2C%22max%22%3A3%7D%2C%22baths%22%3A%7B%22min%22%3A1%2C%22max%22%3Anull%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A11%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A98122%2C%22regionType%22%3A7%7D%5D%2C%22pagination%22%3A%7B%7D%2C%22usersSearchTerm%22%3A%22Merced%20CA%2095341%22%7D,,,,,,,,,,,,,,,
